Kizomba URL,Kizomba Title,Original URL,Original Title
https://www.youtube.com/watch?v=daIsBKbVcpg,Kaysha - Diamonds | Audio | Kizomba,https://www.youtube.com/watch?v=lWA2pjMjpBs,Rihanna - Diamonds
https://www.youtube.com/watch?v=QGmbN-85HKY,INDILA - Dernière Danse (Dj C.C.Ron Kizomba Remix),https://www.youtube.com/watch?v=K5KAc5CoCuk,Indila - Dernière Danse (Clip Officiel)
https://www.youtube.com/watch?v=a_gkYEeleec,John Legend ft Ludacris - Tonight - Kizomba remix,https://www.youtube.com/watch?v=iXvy8ZeCs5M,John Legend - Tonight (Best You Ever Had) ft. Ludacris
https://www.youtube.com/watch?v=aX9LPbAxcl4,Sia - Chandelier (by Michelle Yaneza) (Bruno Leite Kizomba Remix),https://www.youtube.com/watch?v=2vjPBrBU-TM,Sia - Chandelier (Official Video)
https://www.youtube.com/watch?v=4m0PFM5iikI,All Of Me '' Kizomba,https://www.youtube.com/watch?v=450p7goxZqg,John Legend - All of Me
https://www.youtube.com/watch?v=fZFObMadbvM,Bailando - Kizomba ( Dj Fabio Cr ),https://www.youtube.com/watch?v=NUsoVlDFqZg,"Enrique Iglesias - Bailando (Español) ft. Descemer Bueno, Gente De Zona"
https://www.youtube.com/watch?v=OnjQTIhu6B0,Justin Bieber - Love Yourself (JVDS ft. JEAZY Zouk/Kizomba Remix),https://www.youtube.com/watch?v=oyEuk8j8imI,Justin Bieber - Love Yourself (PURPOSE : The Movement)
https://www.youtube.com/watch?v=HFrxPVOK3Qc,SORRY - JUSTIN BIEBER - KIZOMBA REMIX - DJ RADIKAL,https://www.youtube.com/watch?v=fRh_vgS2dFE,Justin Bieber - Sorry (PURPOSE : The Movement)
https://www.youtube.com/watch?v=rXMfrwUFCcc,Fugees - Ready or Not - Kizomba Remix by DJ CHAD - Brand new 2014,https://www.youtube.com/watch?v=aIXyKmElvv8,The Fugees - Ready or Not
https://www.youtube.com/watch?v=Dg9u3MVuzho,Selena Gomez - Good For You [THE Kizomba Remix by Dj Kayel] (2015),https://www.youtube.com/watch?v=1TsVjvEkc4s,Selena Gomez - Good For You
https://www.youtube.com/watch?v=4tr6vynkQB0,Sean Paul - Got 2 Luv U (THE Kizomba Remix by Dj Kayel),https://www.youtube.com/watch?v=tDq3fNew1rU,Sean Paul - Got 2 Luv U Ft. Alexis Jordan [Official Music Video]
https://www.youtube.com/watch?v=jkzfyJ48wJw,Michael Jackson - Liberian Girl [Kizomba Remix by M&N Pro feat. Nilton Ramalho],https://www.youtube.com/watch?v=f3V-7DEAgdc,Michael Jackson - Liberian Girl
https://www.youtube.com/watch?v=nnltHlC-zTg,Dj Mayne Ft. Débora Ghira - Tell me(Dj Lucky remix),https://www.youtube.com/watch?v=SjU2ZR2zlUo,MAYNA - Tell Me (Music Video)
https://www.youtube.com/watch?v=UVsdn5uY4yw,John Legend - You and I (Kizomba Remix by Dj Radikal 2015),https://www.youtube.com/watch?v=Pi3bc9lS3rg,John Legend - You & I (Nobody in the World)
https://www.youtube.com/watch?v=MMy-mkL4dAQ,6AM Kizomba Remix - J Balvin ft. Farruko (DJ Chris & Mark G.),https://www.youtube.com/watch?v=yUV9JwiQLog,J. Balvin - 6 AM ft. Farruko
https://www.youtube.com/watch?v=mhRZ7OVfUyE,Ed Sheeran - Thinking Out Loud (M&N PRO KIZOMBA REMIX) 2015,https://www.youtube.com/watch?v=lp-EO5I60KA,Ed Sheeran - Thinking Out Loud [Official Video]
